"Station Name","REGINA INTL A"
"Province","SASKATCHEWAN"
"Latitude","50.43"
"Longitude","-104.67"
"Elevation","577.60"
"Climate Identifier","4016566"
"WMO Identifier",""
"TC Identifier","YQR"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2017-04-01 00:00","2017","04","01","00:00","-0.9","","-1.8","","94","","18","","16","","24.1","","95.32","","","","-6","","Clear"
"2017-04-01 01:00","2017","04","01","01:00","-1.1","","-1.8","","95","","18","","12","","24.1","","95.34","","","","-5","","NA"
"2017-04-01 02:00","2017","04","01","02:00","-1.0","","-1.7","","95","","17","","15","","24.1","","95.34","","","","-6","","NA"
"2017-04-01 03:00","2017","04","01","03:00","-0.6","","-1.5","","94","","17","","14","","24.1","","95.26","","","","-5","","Clear"
"2017-04-01 04:00","2017","04","01","04:00","0.1","","-0.8","","94","","16","","21","","24.1","","95.20","","","","","","NA"
"2017-04-01 05:00","2017","04","01","05:00","0.1","","-0.6","","95","","16","","21","","24.1","","95.14","","","","","","NA"
"2017-04-01 06:00","2017","04","01","06:00","0.0","","-0.6","","96","","16","","23","","24.1","","95.05","","","","-6","","Cloudy"
"2017-04-01 07:00","2017","04","01","07:00","1.0","","0.6","","97","","16","","15","","4.8","","95.01","","","","","","Fog"
"2017-04-01 08:00","2017","04","01","08:00","2.0","","1.4","","96","","16","","19","","9.7","","95.03","","","","","","Fog"
"2017-04-01 09:00","2017","04","01","09:00","2.8","","2.1","","95","","16","","22","","9.7","","94.97","","","","","","Fog"
"2017-04-01 10:00","2017","04","01","10:00","4.2","","2.7","","90","","17","","25","","12.9","","94.88","","","","","","NA"
"2017-04-01 11:00","2017","04","01","11:00","6.4","","3.4","","81","","17","","30","","19.3","","94.79","","","","","","NA"
"2017-04-01 12:00","2017","04","01","12:00","7.6","","4.4","","80","","18","","30","","24.1","","94.67","","","","","","Mostly Cloudy"
"2017-04-01 13:00","2017","04","01","13:00","9.1","","4.7","","74","","18","","36","","24.1","","94.53","","","","","","NA"
"2017-04-01 14:00","2017","04","01","14:00","10.4","","5.0","","69","","18","","39","","24.1","","94.41","","","","","","NA"
"2017-04-01 15:00","2017","04","01","15:00","12.3","","5.1","","61","","18","","35","","24.1","","94.30","","","","","","Cloudy"
"2017-04-01 16:00","2017","04","01","16:00","14.0","","4.6","","53","","18","","35","","24.1","","94.14","","","","","","NA"
"2017-04-01 17:00","2017","04","01","17:00","13.7","","4.9","","55","","18","","27","","24.1","","94.04","","","","","","NA"
"2017-04-01 18:00","2017","04","01","18:00","12.3","","6.2","","66","","16","","22","","24.1","","93.96","","","","","","Mostly Cloudy"
"2017-04-01 19:00","2017","04","01","19:00","11.2","","5.6","","68","","18","","17","","24.1","","93.88","","","","","","NA"
"2017-04-01 20:00","2017","04","01","20:00","10.2","","5.0","","70","","18","","22","","24.1","","93.79","","","","","","NA"
"2017-04-01 21:00","2017","04","01","21:00","10.0","","4.4","","68","","16","","23","","24.1","","93.70","","","","","","Cloudy"
"2017-04-01 22:00","2017","04","01","22:00","9.8","","4.4","","69","","16","","26","","24.1","","93.58","","","","","","Rain"
"2017-04-01 23:00","2017","04","01","23:00","9.6","","4.6","","71","","16","","30","","24.1","","93.40","","","","","","NA"
"2017-04-02 00:00","2017","04","02","00:00","8.6","","4.4","","75","","19","","22","","24.1","","93.33","","","","","","Mostly Cloudy"
"2017-04-02 01:00","2017","04","02","01:00","8.2","","2.3","","66","","27","","30","","24.1","","93.36","","","","","","NA"
"2017-04-02 02:00","2017","04","02","02:00","6.3","","3.8","","84","","32","","33","","24.1","","93.53","","","","","","NA"
"2017-04-02 03:00","2017","04","02","03:00","4.5","","3.2","","91","","30","","23","","24.1","","93.65","","","","","","Mostly Cloudy"
"2017-04-02 04:00","2017","04","02","04:00","5.1","","3.4","","89","","31","","34","","24.1","","93.75","","","","","","NA"
"2017-04-02 05:00","2017","04","02","05:00","3.3","","2.3","","93","","31","","22","","24.1","","93.80","","","","","","NA"
"2017-04-02 06:00","2017","04","02","06:00","3.9","","2.6","","91","","31","","33","","24.1","","93.88","","","","","","Mostly Cloudy"
"2017-04-02 07:00","2017","04","02","07:00","2.4","","1.7","","95","","28","","22","","24.1","","93.95","","","","","","NA"
"2017-04-02 08:00","2017","04","02","08:00","3.4","","2.1","","91","","27","","26","","24.1","","93.95","","","","","","NA"
"2017-04-02 09:00","2017","04","02","09:00","5.0","","2.0","","81","","28","","30","","24.1","","93.98","","","","","","Mostly Cloudy"
"2017-04-02 10:00","2017","04","02","10:00","7.5","","2.4","","70","","29","","27","","24.1","","93.98","","","","","","NA"
"2017-04-02 11:00","2017","04","02","11:00","10.0","","1.7","","56","","28","","39","","24.1","","93.98","","","","","","NA"
"2017-04-02 12:00","2017","04","02","12:00","11.1","","0.8","","49","","30","","33","","24.1","","93.98","","","","","","Mainly Clear"
"2017-04-02 13:00","2017","04","02","13:00","11.8","","-1.0","","41","","31","","36","","24.1","","93.97","","","","","","NA"
"2017-04-02 14:00","2017","04","02","14:00","13.1","","-2.0","","35","","31","","35","","24.1","","93.98","","","","","","NA"
"2017-04-02 15:00","2017","04","02","15:00","13.6","","-2.3","","33","","30","","33","","24.1","","94.01","","","","","","Mostly Cloudy"
"2017-04-02 16:00","2017","04","02","16:00","11.5","","-2.7","","37","","31","","30","","24.1","","93.98","","","","","","NA"
"2017-04-02 17:00","2017","04","02","17:00","13.5","","-3.7","","30","","32","","27","","24.1","","93.96","","","","","","NA"
"2017-04-02 18:00","2017","04","02","18:00","12.2","","-2.4","","36","","31","","26","","24.1","","93.98","","","","","","Mainly Clear"
"2017-04-02 19:00","2017","04","02","19:00","10.1","","-1.6","","44","","32","","17","","24.1","","93.98","","","","","","NA"
"2017-04-02 20:00","2017","04","02","20:00","5.2","","-2.4","","58","","32","","13","","24.1","","94.03","","","","","","NA"
"2017-04-02 21:00","2017","04","02","21:00","3.8","","-2.4","","64","","36","","9","","24.1","","94.09","","","","","","Clear"
"2017-04-02 22:00","2017","04","02","22:00","4.4","","-2.0","","63","","2","","8","","24.1","","94.11","","","","","","NA"
"2017-04-02 23:00","2017","04","02","23:00","1.0","","-2.1","","80","","31","","6","","24.1","","94.13","","","","","","NA"
"2017-04-03 00:00","2017","04","03","00:00","-0.3","","-2.5","","85","","34","","7","","24.1","","94.14","","","","-3","","Mainly Clear"
"2017-04-03 01:00","2017","04","03","01:00","-2.3","","-3.7","","90","","25","","13","","24.1","","94.16","","","","-7","","NA"
"2017-04-03 02:00","2017","04","03","02:00","-1.7","","-3.4","","88","","27","","11","","24.1","","94.19","","","","-6","","NA"
"2017-04-03 03:00","2017","04","03","03:00","-1.0","","-3.2","","85","","32","","4","","24.1","","94.20","","","","-2","","Mostly Cloudy"
"2017-04-03 04:00","2017","04","03","04:00","-0.6","","-2.8","","85","","32","","4","","24.1","","94.22","","","","-2","","NA"
"2017-04-03 05:00","2017","04","03","05:00","-0.6","","-2.2","","89","","26","","3","","24.1","","94.25","","","","-2","","NA"
"2017-04-03 06:00","2017","04","03","06:00","-0.8","","-1.8","","93","","20","","7","","24.1","","94.28","","","","-3","","Mostly Cloudy"
"2017-04-03 07:00","2017","04","03","07:00","-0.6","","-1.6","","93","","29","","4","","24.1","","94.30","","","","-2","","NA"
"2017-04-03 08:00","2017","04","03","08:00","0.6","","-0.4","","93","","28","","8","","24.1","","94.33","","","","","","NA"
"2017-04-03 09:00","2017","04","03","09:00","2.3","","0.0","","85","","29","","12","","24.1","","94.34","","","","","","Mostly Cloudy"
"2017-04-03 10:00","2017","04","03","10:00","3.2","","0.3","","81","","30","","10","","24.1","","94.37","","","","","","NA"
"2017-04-03 11:00","2017","04","03","11:00","8.0","","0.0","","57","","29","","13","","24.1","","94.38","","","","","","NA"
"2017-04-03 12:00","2017","04","03","12:00","10.0","","-0.2","","49","","32","","14","","24.1","","94.37","","","","","","Mostly Cloudy"
"2017-04-03 13:00","2017","04","03","13:00","9.6","","-0.6","","49","","29","","15","","24.1","","94.37","","","","","","NA"
"2017-04-03 14:00","2017","04","03","14:00","10.4","","-1.6","","43","","3","","7","","24.1","","94.33","","","","","","NA"
"2017-04-03 15:00","2017","04","03","15:00","11.4","","-3.1","","36","","34","","7","","24.1","","94.32","","","","","","Mostly Cloudy"
"2017-04-03 16:00","2017","04","03","16:00","11.0","","-2.4","","39","","5","","18","","24.1","","94.27","","","","","","NA"
